A1 : Real Madrid (Spain)
A2 : Manchester City (England)
A3 : Bayern Munich (Germany)
A4 : Barcelona (Spain)
A5 : Paris Saint-Germain (France)
A6 : Liverpool (England)
A7 : Atletico Madrid (Spain)
A8 : Chelsea (England)
A9 : Juventus (Italy)
B1 : Ajax (Netherlands)
B2 : Inter Milan (Italy)
B3 : RB Leipzig (Germany)
B4 : Sevilla (Spain)
B5 : Lazio (Italy)
B6 : Manchester United (England)
B7 : Borussia Dortmund (Germany)
B8 : Arsenal (England)
B9 : AC Milan (Italy)
C1 : Napoli (Italy)
C2 : Tottenham Hotspur (England)
C3 : Roma (Italy)
C4 : Villarreal (Spain)
C5 : Wolfsburg (Germany)
C6 : Leicester City (England)
C7 : Bayer Leverkusen (Germany)
C8 : Porto (Portugal)
C9 : Zenit Saint Petersburg (Russia)
D1 : West Ham United (England)
D2 : Celtic (Scotland)
D3 : Crystal Palace (England)
D4 : Real Sociedad (Spain)
D5 : Leeds United (England)
D6 : Eintracht Frankfurt (Germany)
D7 : Everton (England)
D8 : Fiorentina (Italy)
D9 : AS Monaco (France)
